formula_pretty,symmetry.number,symmetry.crystal_system,symmetry.symbol,symmetry.point_group
Te2Mo(WSe2)2,187,Hexagonal,P-6m2,-6m2
Mo(WSe3)2,187,Hexagonal,P-6m2,-6m2
Te2Mo,187,Hexagonal,P-6m2,-6m2
W3(SeS2)2,156,Trigonal,P3m1,3m
Te2W3(SeS)2,156,Trigonal,P3m1,3m
Te2Mo(WSe2)2,156,Trigonal,P3m1,3m
W3(SeS2)2,187,Hexagonal,P-6m2,-6m2
Te4Mo(WSe)2,187,Hexagonal,P-6m2,-6m2
Te2W3S4,156,Trigonal,P3m1,3m
Te4W3S2,156,Trigonal,P3m1,3m
W3(Se2S)2,187,Hexagonal,P-6m2,-6m2
MoW2(Se2S)2,187,Hexagonal,P-6m2,-6m2
Te4Mo(WSe)2,156,Trigonal,P3m1,3m
W3(Se2S)2,156,Trigonal,P3m1,3m
Te4Mo2WSe2,156,Trigonal,P3m1,3m
Te6Mo2W,156,Trigonal,P3m1,3m
Te2W3(SeS)2,156,Trigonal,P3m1,3m
Te2Mo(WS2)2,156,Trigonal,P3m1,3m
Te6Mo2W,187,Hexagonal,P-6m2,-6m2
Te2MoW2(SeS)2,156,Trigonal,P3m1,3m
Te4Mo2WS2,187,Hexagonal,P-6m2,-6m2
MoW2(Se2S)2,156,Trigonal,P3m1,3m
Te4Mo2WS2,156,Trigonal,P3m1,3m
MoW2(SeS2)2,187,Hexagonal,P-6m2,-6m2
Te4Mo2WSe2,156,Trigonal,P3m1,3m
Te2Mo2WSe4,156,Trigonal,P3m1,3m
Te4Mo2WSe2,187,Hexagonal,P-6m2,-6m2
Te6MoW2,156,Trigonal,P3m1,3m
Te4Mo(WSe)2,156,Trigonal,P3m1,3m
Te4Mo3Se2,187,Hexagonal,P-6m2,-6m2
Mo(WS3)2,187,Hexagonal,P-6m2,-6m2
Te2W3S4,187,Hexagonal,P-6m2,-6m2
Te4Mo(WS)2,156,Trigonal,P3m1,3m
Te2MoW2(SeS)2,156,Trigonal,P3m1,3m
Te2Mo(WSe2)2,156,Trigonal,P3m1,3m
Te2Mo(WSe2)2,156,Trigonal,P3m1,3m
Te4Mo(WS)2,156,Trigonal,P3m1,3m
Te2Mo(WS2)2,187,Hexagonal,P-6m2,-6m2
MoW2(SeS2)2,156,Trigonal,P3m1,3m
Te2MoW2(SeS)2,156,Trigonal,P3m1,3m
Te2Mo3Se4,187,Hexagonal,P-6m2,-6m2
Te4Mo(WSe)2,156,Trigonal,P3m1,3m
Te2Mo2W(SeS)2,156,Trigonal,P3m1,3m
Te4Mo(WSe)2,156,Trigonal,P3m1,3m
Te4Mo3Se2,156,Trigonal,P3m1,3m
MoW2(Se2S)2,156,Trigonal,P3m1,3m
Te4Mo2WS2,156,Trigonal,P3m1,3m
Te2MoW2(SeS)2,156,Trigonal,P3m1,3m
Mo2W(Se2S)2,187,Hexagonal,P-6m2,-6m2
Te4Mo2WSe2,156,Trigonal,P3m1,3m
Te2Mo2WSe4,156,Trigonal,P3m1,3m
Te2MoW2(SeS)2,156,Trigonal,P3m1,3m
Te4Mo3S2,187,Hexagonal,P-6m2,-6m2
Te2Mo2W(SeS)2,156,Trigonal,P3m1,3m
Te2Mo2WSe4,187,Hexagonal,P-6m2,-6m2
Te2Mo2W(SeS)2,156,Trigonal,P3m1,3m
Te2Mo2WSe4,156,Trigonal,P3m1,3m
Te4Mo2WSe2,156,Trigonal,P3m1,3m
Mo(WSe3)2,156,Trigonal,P3m1,3m
MoSe2,187,Hexagonal,P-6m2,-6m2
Te2Mo(WS2)2,156,Trigonal,P3m1,3m
Te2Mo2W(SeS)2,156,Trigonal,P3m1,3m
Mo2WSe6,187,Hexagonal,P-6m2,-6m2
MoW2(Se2S)2,156,Trigonal,P3m1,3m
Mo3(Se2S)2,187,Hexagonal,P-6m2,-6m2
MoW2(SeS2)2,156,Trigonal,P3m1,3m
Te2Mo(WSe2)2,156,Trigonal,P3m1,3m
Te2MoW2(SeS)2,156,Trigonal,P3m1,3m
Te2Mo2WS4,187,Hexagonal,P-6m2,-6m2
Mo2W(Se2S)2,156,Trigonal,P3m1,3m
Te2Mo(WS2)2,156,Trigonal,P3m1,3m
Te2Mo3(SeS)2,156,Trigonal,P3m1,3m
Mo3(Se2S)2,156,Trigonal,P3m1,3m
Te4Mo2WS2,156,Trigonal,P3m1,3m
Mo2WS6,187,Hexagonal,P-6m2,-6m2
MoW2(SeS2)2,156,Trigonal,P3m1,3m
MoW2(SeS2)2,156,Trigonal,P3m1,3m
Te4Mo(WS)2,156,Trigonal,P3m1,3m
Mo2WS6,156,Trigonal,P3m1,3m
Te2Mo2WS4,156,Trigonal,P3m1,3m
Te4Mo(WS)2,156,Trigonal,P3m1,3m
Mo3(SeS2)2,187,Hexagonal,P-6m2,-6m2
Te2Mo2WS4,156,Trigonal,P3m1,3m
Te2Mo3(SeS)2,156,Trigonal,P3m1,3m
Te2Mo2WS4,156,Trigonal,P3m1,3m
Te2Mo2W(SeS)2,156,Trigonal,P3m1,3m
Mo2W(SeS2)2,156,Trigonal,P3m1,3m
Te4Mo3S2,156,Trigonal,P3m1,3m
Mo2W(SeS2)2,156,Trigonal,P3m1,3m
Mo2W(Se2S)2,156,Trigonal,P3m1,3m
Mo2W(SeS2)2,156,Trigonal,P3m1,3m
Te2Mo2W(SeS)2,156,Trigonal,P3m1,3m
Te2Mo3S4,187,Hexagonal,P-6m2,-6m2
Mo3(SeS2)2,156,Trigonal,P3m1,3m
Te2Mo3(SeS)2,156,Trigonal,P3m1,3m
Te2Mo2WS4,156,Trigonal,P3m1,3m
Te2Mo2W(SeS)2,156,Trigonal,P3m1,3m
Te2Mo3S4,156,Trigonal,P3m1,3m
Mo2W(SeS2)2,156,Trigonal,P3m1,3m
Te2Mo2W(SeS)2,156,Trigonal,P3m1,3m
Mo(WS3)2,156,Trigonal,P3m1,3m
Te2W3(SeS)2,156,Trigonal,P3m1,3m
Te2W3Se4,156,Trigonal,P3m1,3m
Te2W3Se4,187,Hexagonal,P-6m2,-6m2
Te4W3Se2,156,Trigonal,P3m1,3m
Te6MoW2,187,Hexagonal,P-6m2,-6m2
Te4Mo(WS)2,187,Hexagonal,P-6m2,-6m2
Te4W3Se2,187,Hexagonal,P-6m2,-6m2
Te4W3S2,187,Hexagonal,P-6m2,-6m2
Mg14SbC,38,Orthorhombic,Amm2,mm2
Mg14GaC,38,Orthorhombic,Amm2,mm2
Mg14BC,38,Orthorhombic,Amm2,mm2
Mg14MoC,38,Orthorhombic,Amm2,mm2
Mg14SnC,38,Orthorhombic,Amm2,mm2
Mg14CuSi,187,Hexagonal,P-6m2,-6m2
Mg14CuSi,38,Orthorhombic,Amm2,mm2
Mo3W(SeS)4,156,Trigonal,P3m1,3m
MoW(SeS)2,156,Trigonal,P3m1,3m
MoW(SeS)2,156,Trigonal,P3m1,3m
Te2MoWSeS,156,Trigonal,P3m1,3m
MoSeS,164,Trigonal,P-3m1,-3m
Te2Mo3W(SeS2)2,156,Trigonal,P3m1,3m
Te2Mo3W(SeS2)2,156,Trigonal,P3m1,3m
Mo3W(SeS)4,156,Trigonal,P3m1,3m
Te4MoW3(SeS)2,156,Trigonal,P3m1,3m
Te2MoW3(SeS2)2,156,Trigonal,P3m1,3m
Te2Mo3W(Se2S)2,156,Trigonal,P3m1,3m
TeMo2SeS2,156,Trigonal,P3m1,3m
Te2Mo3W(Se2S)2,156,Trigonal,P3m1,3m
Mo3W(SeS3)2,156,Trigonal,P3m1,3m
TeMoWSe2S,156,Trigonal,P3m1,3m
TeMo2Se2S,156,Trigonal,P3m1,3m
Te2MoWS2,156,Trigonal,P3m1,3m
Te4Mo3W(SeS)2,156,Trigonal,P3m1,3m
MoWSe3S,156,Trigonal,P3m1,3m
MoWSeS3,156,Trigonal,P3m1,3m
TeMoWSe2S,156,Trigonal,P3m1,3m
Te4MoW3S4,156,Trigonal,P3m1,3m
TeMo2Se2S,156,Trigonal,P3m1,3m
Mo2Se3S,156,Trigonal,P3m1,3m
Te3MoWS,156,Trigonal,P3m1,3m
Te2Mo2SeS,156,Trigonal,P3m1,3m
TeMoWSeS2,156,Trigonal,P3m1,3m
Te2Mo3W(Se2S)2,156,Trigonal,P3m1,3m
Te2Mo3W(Se2S)2,156,Trigonal,P3m1,3m
Te2MoW3(Se2S)2,156,Trigonal,P3m1,3m
Te2MoW3(SeS2)2,156,Trigonal,P3m1,3m
Te2MoWSeS,156,Trigonal,P3m1,3m
TeMoWSeS2,156,Trigonal,P3m1,3m
Te3MoWS,156,Trigonal,P3m1,3m
Te2MoWS2,156,Trigonal,P3m1,3m
Te6MoW3S2,156,Trigonal,P3m1,3m
TeMoWSe2S,156,Trigonal,P3m1,3m
TeMoWSeS2,156,Trigonal,P3m1,3m
Mo3W(SeS)4,156,Trigonal,P3m1,3m
Te4Mo3W(SeS)2,156,Trigonal,P3m1,3m
Te2MoWS2,156,Trigonal,P3m1,3m
Te2MoW3(Se2S)2,156,Trigonal,P3m1,3m
Te2Mo(WS2)3,156,Trigonal,P3m1,3m
Te2MoWSeS,156,Trigonal,P3m1,3m
Te2MoWSeS,156,Trigonal,P3m1,3m
TeMoWS3,156,Trigonal,P3m1,3m
Te4Mo3W(SeS)2,156,Trigonal,P3m1,3m
MoW(SeS)2,164,Trigonal,P-3m1,-3m
TeMoWSeS2,156,Trigonal,P3m1,3m
Te2Mo3W(SeS2)2,156,Trigonal,P3m1,3m
MoW3(Se3S)2,156,Trigonal,P3m1,3m
TeMoWSeS2,156,Trigonal,P3m1,3m
TeMoWSe2S,156,Trigonal,P3m1,3m
Mo3W(Se3S)2,156,Trigonal,P3m1,3m
Te2MoWS2,164,Trigonal,P-3m1,-3m
MoW3(SeS)4,156,Trigonal,P3m1,3m
MoW3(SeS3)2,156,Trigonal,P3m1,3m
TeMoWSe2S,156,Trigonal,P3m1,3m
MoW(SeS)2,156,Trigonal,P3m1,3m
Mo3W(SeS)4,156,Trigonal,P3m1,3m
Te4Mo3WS4,156,Trigonal,P3m1,3m
Te4Mo3W(SeS)2,156,Trigonal,P3m1,3m
Te2MoW3(Se2S)2,156,Trigonal,P3m1,3m
TeMoWSe2S,156,Trigonal,P3m1,3m
Te2Mo3W(Se2S)2,156,Trigonal,P3m1,3m
TeMoWSe2S,156,Trigonal,P3m1,3m
MoWSe3S,156,Trigonal,P3m1,3m
MoW3(SeS)4,156,Trigonal,P3m1,3m
MoWSe3S,156,Trigonal,P3m1,3m
MoWSeS3,156,Trigonal,P3m1,3m
Te2Mo3W(SeS2)2,156,Trigonal,P3m1,3m
Mo3W(Se3S)2,156,Trigonal,P3m1,3m
MoW(SeS)2,156,Trigonal,P3m1,3m
Te2Mo3W(Se2S)2,156,Trigonal,P3m1,3m
MoW(SeS)2,156,Trigonal,P3m1,3m
Te6Mo3WS2,156,Trigonal,P3m1,3m
Te2MoW3(SeS2)2,156,Trigonal,P3m1,3m
Te2MoW3(SeS2)2,156,Trigonal,P3m1,3m
MoW(SeS)2,156,Trigonal,P3m1,3m
TeMoWSeS2,156,Trigonal,P3m1,3m
Te4Mo3W(SeS)2,156,Trigonal,P3m1,3m
Te4MoW3S4,156,Trigonal,P3m1,3m
Te2MoWSeS,156,Trigonal,P3m1,3m
TeMoWSeS2,156,Trigonal,P3m1,3m
Te4MoW3S4,156,Trigonal,P3m1,3m
TeMoWSeS2,156,Trigonal,P3m1,3m
TeMoWS3,156,Trigonal,P3m1,3m
Te2Mo3WS6,156,Trigonal,P3m1,3m
Te4Mo3W(SeS)2,156,Trigonal,P3m1,3m
TeMoWSe2S,156,Trigonal,P3m1,3m
Te2MoWSeS,156,Trigonal,P3m1,3m
MoW3(SeS3)2,156,Trigonal,P3m1,3m
Te4Mo3W(SeS)2,156,Trigonal,P3m1,3m
MoWS4,156,Trigonal,P3m1,3m
Te2Mo3W(Se2S)2,156,Trigonal,P3m1,3m
Te2Mo2SeS,156,Trigonal,P3m1,3m
Te2MoWS2,156,Trigonal,P3m1,3m
TeMoWSe2S,156,Trigonal,P3m1,3m
TeMoWSeS2,156,Trigonal,P3m1,3m
Te4Mo3W(SeS)2,156,Trigonal,P3m1,3m
Te4Mo3WS4,156,Trigonal,P3m1,3m
Te4Mo3WS4,156,Trigonal,P3m1,3m
TeMoS,164,Trigonal,P-3m1,-3m
TeMoWSeS2,156,Trigonal,P3m1,3m
Te2MoWSeS,156,Trigonal,P3m1,3m
Te2MoWS2,156,Trigonal,P3m1,3m
MoW(SeS)2,156,Trigonal,P3m1,3m
Te2Mo3WS6,156,Trigonal,P3m1,3m
TeMoWSeS2,156,Trigonal,P3m1,3m
Te4Mo3WS4,156,Trigonal,P3m1,3m
MoWSeS3,156,Trigonal,P3m1,3m
Te2Mo(WS2)3,156,Trigonal,P3m1,3m
Mo3W(Se3S)2,156,Trigonal,P3m1,3m
Te4Mo3W(SeS)2,156,Trigonal,P3m1,3m
Te6Mo3WS2,156,Trigonal,P3m1,3m
Mo3W(SeS)4,156,Trigonal,P3m1,3m
Te2Mo2SeS,156,Trigonal,P3m1,3m
TeMoS,156,Trigonal,P3m1,3m
Te2Mo3W(SeS2)2,156,Trigonal,P3m1,3m
Te4Mo3WS4,156,Trigonal,P3m1,3m
Te2Mo3W(Se2S)2,156,Trigonal,P3m1,3m
MoW(SeS)2,156,Trigonal,P3m1,3m
Te2Mo3W(SeS2)2,156,Trigonal,P3m1,3m
TeMo2Se2S,156,Trigonal,P3m1,3m
Te4Mo3WS4,156,Trigonal,P3m1,3m
Te2Mo3W(Se2S)2,156,Trigonal,P3m1,3m
Te4Mo3W(SeS)2,156,Trigonal,P3m1,3m
TeMo2SeS2,156,Trigonal,P3m1,3m
Mo3W(SeS3)2,156,Trigonal,P3m1,3m
Mo3W(SeS)4,156,Trigonal,P3m1,3m
MoWSe3S,156,Trigonal,P3m1,3m
TeMoWS3,156,Trigonal,P3m1,3m
TeMoWSeS2,156,Trigonal,P3m1,3m
Mo2Se3S,156,Trigonal,P3m1,3m
Te2MoWS2,156,Trigonal,P3m1,3m
MoSeS,164,Trigonal,P-3m1,-3m
Te2Mo3W(SeS2)2,156,Trigonal,P3m1,3m
MoW(SeS)2,156,Trigonal,P3m1,3m
Te2MoWSeS,156,Trigonal,P3m1,3m
Te2Mo3W(Se2S)2,156,Trigonal,P3m1,3m
Te2Mo3W(Se2S)2,156,Trigonal,P3m1,3m
Mo3W(SeS)4,156,Trigonal,P3m1,3m
MoS2,164,Trigonal,P-3m1,-3m
TeMoWSe2S,156,Trigonal,P3m1,3m
Te2Mo3W(SeS2)2,156,Trigonal,P3m1,3m
TeMoWSeS2,156,Trigonal,P3m1,3m
Mo3W(SeS3)2,156,Trigonal,P3m1,3m
Te4Mo3W(SeS)2,156,Trigonal,P3m1,3m
TeMo2Se2S,156,Trigonal,P3m1,3m
Mo3W(Se3S)2,156,Trigonal,P3m1,3m
TeMo2SeS2,156,Trigonal,P3m1,3m
Mo3W(SeS)4,156,Trigonal,P3m1,3m
Te2Mo3WS6,156,Trigonal,P3m1,3m
Mo3WS8,156,Trigonal,P3m1,3m
Te2Mo3W(SeS2)2,156,Trigonal,P3m1,3m
TeMo2Se2S,156,Trigonal,P3m1,3m
TeMo2SeS2,156,Trigonal,P3m1,3m
MoSeS,156,Trigonal,P3m1,3m
Te2Mo2SeS,156,Trigonal,P3m1,3m
MoWSeS3,156,Trigonal,P3m1,3m
Mo3W(SeS3)2,156,Trigonal,P3m1,3m
Te2Mo3W(SeS2)2,156,Trigonal,P3m1,3m
Mo2SeS3,156,Trigonal,P3m1,3m
TeMoWSeS2,156,Trigonal,P3m1,3m
Te2Mo3WS6,156,Trigonal,P3m1,3m
Te2Mo3W(Se2S)2,156,Trigonal,P3m1,3m
Te2MoWS2,156,Trigonal,P3m1,3m
MoWSeS3,156,Trigonal,P3m1,3m
TeMo2SeS2,156,Trigonal,P3m1,3m
TeMoWS3,156,Trigonal,P3m1,3m
Mo3W(SeS3)2,156,Trigonal,P3m1,3m
Te3Mo2S,156,Trigonal,P3m1,3m
Mo3WS8,156,Trigonal,P3m1,3m
Mo3W(SeS3)2,156,Trigonal,P3m1,3m
MoWS4,156,Trigonal,P3m1,3m
TeMoWS3,156,Trigonal,P3m1,3m
Te2Mo3WSe6,156,Trigonal,P3m1,3m
Te4Mo3WSe4,156,Trigonal,P3m1,3m
MoW(SeS)2,156,Trigonal,P3m1,3m
MoWSe3S,156,Trigonal,P3m1,3m
TeMo2Se3,156,Trigonal,P3m1,3m
TeMoSe,156,Trigonal,P3m1,3m
MoSeS,156,Trigonal,P3m1,3m
Te2Mo3W(SeS2)2,156,Trigonal,P3m1,3m
MoSe2,164,Trigonal,P-3m1,-3m
TeMo2S3,156,Trigonal,P3m1,3m
Te4Mo3WS4,156,Trigonal,P3m1,3m
Te2Mo3WS6,156,Trigonal,P3m1,3m
Te2Mo3WSe6,156,Trigonal,P3m1,3m
TeMoWSe2S,156,Trigonal,P3m1,3m
Mo3W(SeS)4,156,Trigonal,P3m1,3m
Te2Mo3W(Se2S)2,156,Trigonal,P3m1,3m
Te2Mo3W(Se2S)2,156,Trigonal,P3m1,3m
Mo3W(Se3S)2,156,Trigonal,P3m1,3m
Te2MoWSeS,156,Trigonal,P3m1,3m
TeMoS,156,Trigonal,P3m1,3m
TeMoWSeS2,156,Trigonal,P3m1,3m
Te2Mo3W(SeS2)2,156,Trigonal,P3m1,3m
TeMoWSeS2,156,Trigonal,P3m1,3m
Te2Mo3W(Se2S)2,156,Trigonal,P3m1,3m
TeMo2S3,156,Trigonal,P3m1,3m
TeMo2SeS2,156,Trigonal,P3m1,3m
Te2Mo3W(SeS2)2,156,Trigonal,P3m1,3m
Te2Mo3WS6,156,Trigonal,P3m1,3m
Mo3W(Se3S)2,156,Trigonal,P3m1,3m
Mo3W(SeS3)2,156,Trigonal,P3m1,3m
TeMo2Se2S,156,Trigonal,P3m1,3m
Mo3W(Se3S)2,156,Trigonal,P3m1,3m
TeMo2Se3,156,Trigonal,P3m1,3m
Te2Mo3W(SeS2)2,156,Trigonal,P3m1,3m
Mo2SeS3,156,Trigonal,P3m1,3m
Mo3W(SeS)4,156,Trigonal,P3m1,3m
Te4Mo3WS4,156,Trigonal,P3m1,3m
Te2Mo3WS6,156,Trigonal,P3m1,3m
Te6Mo3WS2,156,Trigonal,P3m1,3m
Te2Mo3W(SeS2)2,156,Trigonal,P3m1,3m
CsMg6Zn,38,Orthorhombic,Amm2,mm2
YMg6C,38,Orthorhombic,Amm2,mm2
CeSe2,194,Hexagonal,P6_3/mmc,6/mmm
CsMg6Zn,38,Orthorhombic,Amm2,mm2
Ni6Cl7,2,Triclinic,P-1,-1
AlCu,221,Cubic,Pm-3m,m-3m
Bi3O2,139,Tetragonal,I4/mmm,4/mmm
Ce2Cu(NO)2,139,Tetragonal,I4/mmm,4/mmm
CaC4,123,Tetragonal,P4/mmm,4/mmm
Sn,225,Cubic,Fm-3m,m-3m
Ba2CuH6,64,Orthorhombic,Cmce,mmm
Cu3O2,139,Tetragonal,I4/mmm,4/mmm
Na2H6Ir,225,Cubic,Fm-3m,m-3m
YFe2Bi2(SeO2)2,139,Tetragonal,I4/mmm,4/mmm
BaNb2Fe2O9,42,Orthorhombic,Fmm2,mm2
FeBiAsO,129,Tetragonal,P4/nmm,4/mmm
Ba2NbFeO6,164,Trigonal,P-3m1,-3m
CoHCO4,176,Hexagonal,P6_3/m,6/m
SrYMg6,123,Tetragonal,P4/mmm,4/mmm
Ba2NbFeO6,194,Hexagonal,P6_3/mmc,6/mmm
Ba4NbFeO8,14,Monoclinic,P2_1/c,2/m
YMg6Zr,65,Orthorhombic,Cmmm,mmm
LaYMg6,38,Orthorhombic,Amm2,mm2
IrO3,38,Orthorhombic,Amm2,mm2
K3V2(PO4)3,15,Monoclinic,C2/c,2/m
Co2MoS4,82,Tetragonal,I-4,-4
MgCuO2,141,Tetragonal,I4_1/amd,4/mmm
Ba4Cu3PbO9,223,Cubic,Pm-3n,m-3m
CuS,225,Cubic,Fm-3m,m-3m
KCuCl3,221,Cubic,Pm-3m,m-3m
Cu4O3,129,Tetragonal,P4/nmm,4/mmm
K2Cu(ClF)2,64,Orthorhombic,Cmce,mmm
CaMg6C,38,Orthorhombic,Amm2,mm2
CaMg6Nb,123,Tetragonal,P4/mmm,4/mmm
CaMg6B,38,Orthorhombic,Amm2,mm2
CaMg6B,38,Orthorhombic,Amm2,mm2
CaHfMg6,123,Tetragonal,P4/mmm,4/mmm
CaMg6C,38,Orthorhombic,Amm2,mm2
CaYMg6,38,Orthorhombic,Amm2,mm2
LaMg6Al,38,Orthorhombic,Amm2,mm2
CaMg6Zr,123,Tetragonal,P4/mmm,4/mmm
BaMg6Al,38,Orthorhombic,Amm2,mm2
Mg6AlC,38,Orthorhombic,Amm2,mm2
CaYMg6,123,Tetragonal,P4/mmm,4/mmm
SiS,53,Orthorhombic,Pmna,mmm
AlSb,63,Orthorhombic,Cmcm,mmm
O2,161,Trigonal,R3c,3m
MoS2,187,Hexagonal,P-6m2,-6m2
WS2,164,Trigonal,P-3m1,-3m
Te2W,187,Hexagonal,P-6m2,-6m2
Te2MoWSe2,156,Trigonal,P3m1,3m
MoWSe4,156,Trigonal,P3m1,3m
WSeS,156,Trigonal,P3m1,3m
MoW(SeS)2,156,Trigonal,P3m1,3m
TeWS,156,Trigonal,P3m1,3m
Te2MoWS2,156,Trigonal,P3m1,3m
WSe2,164,Trigonal,P-3m1,-3m
MoSe2,187,Hexagonal,P-6m2,-6m2
Te2Mo,187,Hexagonal,P-6m2,-6m2
WSe2,187,Hexagonal,P-6m2,-6m2
WS2,187,Hexagonal,P-6m2,-6m2
Te2Mo,164,Trigonal,P-3m1,-3m
MoS2,164,Trigonal,P-3m1,-3m
MoSe2,164,Trigonal,P-3m1,-3m
Te4MoW,156,Trigonal,P3m1,3m
Te2W,164,Trigonal,P-3m1,-3m
TeWSe,156,Trigonal,P3m1,3m
Te2MoWSe2,156,Trigonal,P3m1,3m
TeMoSe,156,Trigonal,P3m1,3m
MoSeS,156,Trigonal,P3m1,3m
MoWS4,156,Trigonal,P3m1,3m
MoW(SeS)2,156,Trigonal,P3m1,3m
TeMoS,156,Trigonal,P3m1,3m
Te2MoWS2,156,Trigonal,P3m1,3m
La4Al6O15,15,Monoclinic,C2/c,2/m
Na6ZnSe4,186,Hexagonal,P6_3mc,6mm
Na4Zn3Se5,62,Orthorhombic,Pnma,mmm
Na2Zn2Se3,15,Monoclinic,C2/c,2/m
Na2Zn3Se4,72,Orthorhombic,Ibam,mmm
Na2Zn2Se3,96,Tetragonal,P4_32_12,422
Na2ZnSe2,14,Monoclinic,P2_1/c,2/m
Fe2SiS4,164,Trigonal,P-3m1,-3m
Fe2SiS4,10,Monoclinic,P2/m,2/m
Na2ZnS2,14,Monoclinic,P2_1/c,2/m
Na2Zn3S4,72,Orthorhombic,Ibam,mmm
Na4Zn3S5,62,Orthorhombic,Pnma,mmm
SiPt2,189,Hexagonal,P-62m,-6m2
Na2Zn3S4,61,Orthorhombic,Pbca,mmm
K2Sn3O7,62,Orthorhombic,Pnma,mmm
Na2ZnS2,61,Orthorhombic,Pbca,mmm
Zr63S128,164,Trigonal,P-3m1,-3m
DyInCo4,216,Cubic,F-43m,-43m
YB2Rh3,191,Hexagonal,P6/mmm,6/mmm
LuZn2,74,Orthorhombic,Imma,mmm
LaScSi,139,Tetragonal,I4/mmm,4/mmm
HoCuSn,186,Hexagonal,P6_3mc,6mm
PrNiSb,194,Hexagonal,P6_3/mmc,6/mmm
LaB2Pd2C,139,Tetragonal,I4/mmm,4/mmm
TmInCu4,216,Cubic,F-43m,-43m
ZrHCl,164,Trigonal,P-3m1,-3m
PrScSi,139,Tetragonal,I4/mmm,4/mmm
HoInCo4,216,Cubic,F-43m,-43m
TbCo2B2C,139,Tetragonal,I4/mmm,4/mmm
PrSbPd,186,Hexagonal,P6_3mc,6mm
PuB2Rh3,191,Hexagonal,P6/mmm,6/mmm
NpF5,87,Tetragonal,I4/m,4/m
FeNiGe,194,Hexagonal,P6_3/mmc,6/mmm
YSi2Ru3,191,Hexagonal,P6/mmm,6/mmm
CeB2Pt2C,139,Tetragonal,I4/mmm,4/mmm
ErInNi4,216,Cubic,F-43m,-43m
TbInPt4,216,Cubic,F-43m,-43m
ErAlGe,63,Orthorhombic,Cmcm,mmm
CeSbPd,186,Hexagonal,P6_3mc,6mm
HoCu4Ag,216,Cubic,F-43m,-43m
YB2Pd2C,139,Tetragonal,I4/mmm,4/mmm
LuB2Ir3,191,Hexagonal,P6/mmm,6/mmm
ErCu2,74,Orthorhombic,Imma,mmm
DyB2Ir3,191,Hexagonal,P6/mmm,6/mmm
HoCu4Au,216,Cubic,F-43m,-43m
MnCoSn,194,Hexagonal,P6_3/mmc,6/mmm
ScCoSi,63,Orthorhombic,Cmcm,mmm
HoCr2Si2C,123,Tetragonal,P4/mmm,4/mmm
ErNi4Au,216,Cubic,F-43m,-43m
CoNiSb,194,Hexagonal,P6_3/mmc,6/mmm
Be5Fe,216,Cubic,F-43m,-43m
FeNiSn,194,Hexagonal,P6_3/mmc,6/mmm
GdCu4Pd,216,Cubic,F-43m,-43m
Te2MoWSeS,156,Trigonal,P3m1,3m
Te2MoW3(SeS2)2,156,Trigonal,P3m1,3m
Te2MoWSeS,156,Trigonal,P3m1,3m
TeMoWSe2S,156,Trigonal,P3m1,3m
MoW3(SeS)4,156,Trigonal,P3m1,3m
MoW3(SeS)4,156,Trigonal,P3m1,3m
MoW3(SeS3)2,156,Trigonal,P3m1,3m
MoW3(Se3S)2,156,Trigonal,P3m1,3m
Te2MoW3(SeS2)2,156,Trigonal,P3m1,3m
Te4MoW3(SeS)2,156,Trigonal,P3m1,3m
MoW3(SeS)4,156,Trigonal,P3m1,3m
TeMoWSeS2,156,Trigonal,P3m1,3m
Te2MoWSe2,164,Trigonal,P-3m1,-3m
MoW(SeS)2,156,Trigonal,P3m1,3m
Te2MoWS2,164,Trigonal,P-3m1,-3m
Te2Mo(WSe2)3,156,Trigonal,P3m1,3m
Te4MoW3(SeS)2,156,Trigonal,P3m1,3m
Te3MoWSe,156,Trigonal,P3m1,3m
Te2Mo(WS2)3,156,Trigonal,P3m1,3m
MoW(SeS)2,164,Trigonal,P-3m1,-3m
Te2MoW3(Se2S)2,156,Trigonal,P3m1,3m
Te4MoW3Se4,156,Trigonal,P3m1,3m
Te2MoWSe2,156,Trigonal,P3m1,3m
Te3MoWS,156,Trigonal,P3m1,3m
Te2MoW3(SeS2)2,156,Trigonal,P3m1,3m
Te2MoWS2,164,Trigonal,P-3m1,-3m
TeMoWSe2S,156,Trigonal,P3m1,3m
Te2Mo(WS2)3,156,Trigonal,P3m1,3m
Te2MoWSeS,156,Trigonal,P3m1,3m
Te2MoW3(SeS2)2,156,Trigonal,P3m1,3m
Te4MoW3S4,156,Trigonal,P3m1,3m
Te2MoW3(SeS2)2,156,Trigonal,P3m1,3m
Te2MoW3(SeS2)2,156,Trigonal,P3m1,3m
Te6Mo3WSe2,156,Trigonal,P3m1,3m
Te2MoWSe2,156,Trigonal,P3m1,3m
Te4MoW3(SeS)2,156,Trigonal,P3m1,3m
Te2MoW3(Se2S)2,156,Trigonal,P3m1,3m
Te2MoWSeS,156,Trigonal,P3m1,3m
TeMoWSe2S,156,Trigonal,P3m1,3m
Te2MoWSeS,156,Trigonal,P3m1,3m
TeMoWSeS2,156,Trigonal,P3m1,3m
Te4Mo3WSe4,156,Trigonal,P3m1,3m
TeMoWSe3,156,Trigonal,P3m1,3m
Te4MoW3S4,156,Trigonal,P3m1,3m
TeMoWSe2S,156,Trigonal,P3m1,3m
MoW(SeS)2,156,Trigonal,P3m1,3m
