formula_pretty,symmetry.number,symmetry.crystal_system,symmetry.symbol,symmetry.point_group
Ca4ErB3O10,8,Monoclinic,Cm,m
Ca5P3CO12,176,Hexagonal,P6_3/m,6/m
CaFe(MoO3)2,14,Monoclinic,P2_1/c,2/m
CaMoO2,141,Tetragonal,I4_1/amd,4/mmm
Ca4Rh,227,Cubic,Fd-3m,m-3m
CaCrO2,141,Tetragonal,I4_1/amd,4/mmm
CaMg5P3HCO16,2,Triclinic,P-1,-1
CaAl2(SiO4)3,9,Monoclinic,Cc,m
Ca5Rh,62,Orthorhombic,Pnma,mmm
CaIn2Rh,62,Orthorhombic,Pnma,mmm
Ca3GeO4F,62,Orthorhombic,Pnma,mmm
Ca3Hf3AgF20,176,Hexagonal,P6_3/m,6/m
CaZrSi6H2O15,5,Monoclinic,C2,2
Cd(C5N)12,2,Triclinic,P-1,-1
Co(BrO6)2,205,Cubic,Pa-3,m-3
Ce3Cr10N11,225,Cubic,Fm-3m,m-3m
Cs2MnH12(SeO7)2,14,Monoclinic,P2_1/c,2/m
CaMnGeO4,62,Orthorhombic,Pnma,mmm
CaZnF2,141,Tetragonal,I4_1/amd,4/mmm
CaAl2Si4(HO6)2,5,Monoclinic,C2,2
Ca5Si3O13,176,Hexagonal,P6_3/m,6/m
Ca4Bi2Br4O3,123,Tetragonal,P4/mmm,4/mmm
Ca6Cd32Cu,200,Cubic,Pm-3,m-3
Ca3SbI3,214,Cubic,I4_132,432
Ca2ScTaO6,14,Monoclinic,P2_1/c,2/m
Ca3SiO4F,62,Orthorhombic,Pnma,mmm
Co2Hg2H3(SO5)2,57,Orthorhombic,Pbcm,mmm
Ce2Ni12P5,11,Monoclinic,P2_1/m,2/m
Ca2HCl2,123,Tetragonal,P4/mmm,4/mmm
Ca3AsI3,214,Cubic,I4_132,432
Ca5As3CO12,176,Hexagonal,P6_3/m,6/m
Ca2HBr2,123,Tetragonal,P4/mmm,4/mmm
Ca(TmS2)2,36,Orthorhombic,Cmc2_1,mm2
Ca2Si5Pt3,72,Orthorhombic,Ibam,mmm
Ce3Co8Si,194,Hexagonal,P6_3/mmc,6/mmm
Ca2LaMn2O7,139,Tetragonal,I4/mmm,4/mmm
Ca(ErS2)2,36,Orthorhombic,Cmc2_1,mm2
Ce4Mg,227,Cubic,Fd-3m,m-3m
Ca2AlSi2O7,113,Tetragonal,P-42_1m,-42m
